dataset_name,size,p,alpha,Structural Perturbation RMSE,Spectral Distance,Standard SVD RMSE
epinions_sample3_train,100k,0.05,0.0,0.5946637185158404,0.03298044,0.5597345129658348
jester_sample1_train,100k,0.05,0.0,0.42245659177813816,0.26433134,0.2162642491953464
jester_sample2_train,100k,0.05,0.0,0.4188156069358486,0.25826156,0.22048170127833525
jester_sample3_train,100k,0.05,0.0,0.4281267490450908,0.24935459,0.2204074645642057
lastfm_sample1_train,100k,0.05,0.0,0.633392307541833,0.3131537,0.5470510222514585
lastfm_sample2_train,100k,0.05,0.0,0.633392307541833,0.3131537,0.5470510222514585
lastfm_sample3_train,100k,0.05,0.0,0.633392307541833,0.3131537,0.5470510222514585
ml-1m_sample1_train,100k,0.05,0.0,0.47311523144862005,0.24446219,0.36646447693644113
ml-1m_sample2_train,100k,0.05,0.0,0.47141725937700024,0.26134494,0.3643674930760088
ml-1m_sample3_train,100k,0.05,0.0,0.46545519559199305,0.25281575,0.3593603127761937
netflix_sample1_train,100k,0.05,0.0,0.48464413988790606,0.2933669,0.35873417896451887
netflix_sample2_train,100k,0.05,0.0,0.48230556189540774,0.2719501,0.36330942664189597
netflix_sample3_train,100k,0.05,0.0,0.48242768803039043,0.2702342,0.361052033516553
pinterest_sample1_train,100k,0.05,0.0,0.6940758611075729,0.12758277,0.6707138776864564
pinterest_sample2_train,100k,0.05,0.0,0.6939868688642664,0.13673927,0.6690116292521079
pinterest_sample3_train,100k,0.05,0.0,0.693295770540005,0.13105471,0.6698913577627971
steam_sample1_train,100k,0.05,0.0,0.705707588625998,0.37378407,0.585315344555258
steam_sample2_train,100k,0.05,0.0,0.7066723019514877,0.38039064,0.58260117479567
steam_sample3_train,100k,0.05,0.0,0.7051495944045018,0.38625312,0.5811805047927391
yahoo-music_sample1_train,100k,0.05,0.0,0.20193512888023157,0.087153755,0.15710236116615126
yahoo-music_sample2_train,100k,0.05,0.0,0.1987894563815558,0.0828856,0.15392253035767087
yahoo-music_sample3_train,100k,0.05,0.0,0.2008722460713769,0.08836127,0.15519027867393245
yelp2022_sample1_train,100k,0.05,0.0,0.580078312355785,0.04987079,0.5484776812951117
yelp2022_sample2_train,100k,0.05,0.0,0.578097959812306,0.040277835,0.5439533784138421
yelp2022_sample3_train,100k,0.05,0.0,0.5797562684230976,0.045717984,0.5464419884661832
Amazon_Books_sample1_train,100k,0.05,0.3,0.6804220331036318,0.039141145,0.6541979802261945
Amazon_Books_sample2_train,100k,0.05,0.3,0.6763773165005645,0.04413824,0.649600932726871
Amazon_Books_sample3_train,100k,0.05,0.3,0.6741237893892814,0.044071823,0.6454679283759511
Amazon_Digital_Music_sample1_train,100k,0.05,0.3,0.6888846656608347,0.053014714,0.5887201657350638
Amazon_Digital_Music_sample2_train,100k,0.05,0.3,0.6888846656608347,0.053014714,0.5887201657350638
Amazon_Digital_Music_sample3_train,100k,0.05,0.3,0.6888846656608347,0.053014714,0.5887201657350638
Amazon_Grocery_and_Gourmet_Food_sample1_train,100k,0.05,0.3,0.6936240415279974,0.053439125,0.6719633194479364
Amazon_Grocery_and_Gourmet_Food_sample2_train,100k,0.05,0.3,0.6929802412199674,0.05614392,0.6721237900034865
Amazon_Grocery_and_Gourmet_Food_sample3_train,100k,0.05,0.3,0.6963189940171214,0.049752448,0.6764619647908777
Amazon_Health_and_Personal_Care_sample1_train,100k,0.05,0.3,0.6222723454607871,0.04253901,0.4860830581386626
Amazon_Health_and_Personal_Care_sample2_train,100k,0.05,0.3,0.6222723454607871,0.04253901,0.4860830581386626
Amazon_Health_and_Personal_Care_sample3_train,100k,0.05,0.3,0.6222723454607871,0.04253901,0.4860830581386626
Amazon_Movies_and_TV_sample1_train,100k,0.05,0.3,0.6756599203969976,0.083285905,0.652609949437601
Amazon_Movies_and_TV_sample2_train,100k,0.05,0.3,0.6765595614665791,0.08679414,0.65279402799209
Amazon_Movies_and_TV_sample3_train,100k,0.05,0.3,0.676759014274822,0.078469984,0.652029540245049
BeerAdvocate_sample1_train,100k,0.05,0.3,0.49300997910987604,0.15530898,0.39330768725648674
BeerAdvocate_sample2_train,100k,0.05,0.3,0.4934784929079908,0.14973144,0.3884015764181234
BeerAdvocate_sample3_train,100k,0.05,0.3,0.4957809382644735,0.14874189,0.39228972898169784
Behance_sample1_train,100k,0.05,0.3,0.6999769264302568,0.07121519,0.6253066651921809
Behance_sample2_train,100k,0.05,0.3,0.7013494888951661,0.076171145,0.6232249274768599
Behance_sample3_train,100k,0.05,0.3,0.7002229956079692,0.07177538,0.6245794802608683
DianPing_sample1_train,100k,0.05,0.3,0.520833354233582,0.038880114,0.5028544455679604
DianPing_sample2_train,100k,0.05,0.3,0.5231632048699334,0.045937125,0.5064242531086559
DianPing_sample3_train,100k,0.05,0.3,0.5216949840946125,0.03264583,0.5022095053505483
Food_sample1_train,100k,0.05,0.3,0.6975789660706698,0.043730635,0.6159339161537905
Food_sample2_train,100k,0.05,0.3,0.6940534888810491,0.04749414,0.5921796910311361
Food_sample3_train,100k,0.05,0.3,0.6964201641841298,0.049379498,0.6154376301150292
GoodReads_sample1_train,100k,0.05,0.3,0.5631959327585859,0.2808893,0.425667912071051
GoodReads_sample2_train,100k,0.05,0.3,0.5571941253432298,0.26655534,0.4221674807640515
GoodReads_sample3_train,100k,0.05,0.3,0.5491468236595818,0.23467024,0.4082013875699817
KDD2010-algebra2006_2007_sample1_train,100k,0.05,0.3,0.7119636847712808,1.1123945,0.3262379459183777
KDD2010-algebra2006_2007_sample2_train,100k,0.05,0.3,0.7139064018333126,1.23435,0.29519711395345427
KDD2010-algebra2006_2007_sample3_train,100k,0.05,0.3,0.720994986767633,1.0994126,0.3217502081596033
ModCloth_sample1_train,100k,0.05,0.3,0.5740767498329534,0.100438975,0.38413024611328533
ModCloth_sample2_train,100k,0.05,0.3,0.5740767498329534,0.100438975,0.38413024611328533
ModCloth_sample3_train,100k,0.05,0.3,0.5740767498329534,0.100438975,0.38413024611328533
RateBeer_sample1_train,100k,0.05,0.3,0.6948923403259998,0.38138828,0.4033670198712933
RateBeer_sample2_train,100k,0.05,0.3,0.6959390346807902,0.34757003,0.40474007727254097
RateBeer_sample3_train,100k,0.05,0.3,0.6900300217242793,0.44051805,0.4122367503077635
RentTheRunway_sample1_train,100k,0.05,0.3,0.6748587589571214,0.049859405,0.6384436489449973
RentTheRunway_sample2_train,100k,0.05,0.3,0.6748587589571214,0.049859405,0.6384436489449973
RentTheRunway_sample3_train,100k,0.05,0.3,0.6748587589571214,0.049859405,0.6384436489449973
Twitch-100k_sample1_train,100k,0.05,0.3,0.6937228150833281,0.110560715,0.6587571344306326
Twitch-100k_sample2_train,100k,0.05,0.3,0.6928764358407061,0.11731043,0.6562923146780327
Twitch-100k_sample3_train,100k,0.05,0.3,0.6925326070458958,0.11487519,0.6564432235783563
anime_sample1_train,100k,0.05,0.3,0.5389319850728205,0.16418256,0.44605870803272146
anime_sample2_train,100k,0.05,0.3,0.5474540189219893,0.16605683,0.4554339730433112
anime_sample3_train,100k,0.05,0.3,0.5422321871420895,0.16378479,0.44852048638479275
book-crossing_sample1_train,100k,0.05,0.3,0.529398912428736,0.15635188,0.4475880457617081
book-crossing_sample2_train,100k,0.05,0.3,0.5300354210404145,0.14647625,0.43832978003385187
book-crossing_sample3_train,100k,0.05,0.3,0.5301112913406887,0.17759196,0.46229452725306386
douban_sample1_train,100k,0.05,0.3,0.5292599586682466,0.4673852,0.34046487396340014
douban_sample2_train,100k,0.05,0.3,0.5346700294594773,0.4599506,0.33836484683752904
douban_sample3_train,100k,0.05,0.3,0.5296483315555774,0.45057043,0.3371510402978184
epinions_sample1_train,100k,0.05,0.3,0.6321763264556327,0.029610252,0.6042100030402157
epinions_sample2_train,100k,0.05,0.3,0.6321763264556327,0.029610252,0.6042100030402157
epinions_sample3_train,100k,0.05,0.3,0.6321763264556327,0.029610252,0.6042100030402157
jester_sample1_train,100k,0.05,0.3,0.4169344005163263,0.21861513,0.23376981883898498
jester_sample2_train,100k,0.05,0.3,0.4132800688486293,0.2261361,0.2332072595902621
jester_sample3_train,100k,0.05,0.3,0.41833862124395155,0.21280539,0.23592065651743419
lastfm_sample1_train,100k,0.05,0.3,0.633392307541833,0.3131537,0.5470510222514585
lastfm_sample2_train,100k,0.05,0.3,0.633392307541833,0.3131537,0.5470510222514585
lastfm_sample3_train,100k,0.05,0.3,0.633392307541833,0.3131537,0.5470510222514585
ml-1m_sample1_train,100k,0.05,0.3,0.48577344931446936,0.22526278,0.3919710366646525
ml-1m_sample2_train,100k,0.05,0.3,0.4844029611870982,0.2188098,0.39128526363603156
ml-1m_sample3_train,100k,0.05,0.3,0.48007119023356726,0.21700668,0.39089127462750134
netflix_sample1_train,100k,0.05,0.3,0.4942427806325598,0.24793284,0.3871728606334508
netflix_sample2_train,100k,0.05,0.3,0.4980874304513449,0.24577236,0.3935003088233228
netflix_sample3_train,100k,0.05,0.3,0.4947481562396581,0.23250175,0.39132047676616805
pinterest_sample1_train,100k,0.05,0.3,0.6940758611075729,0.12758277,0.6707138776864564
pinterest_sample2_train,100k,0.05,0.3,0.6939868688642664,0.13673927,0.6690116292521079
pinterest_sample3_train,100k,0.05,0.3,0.693295770540005,0.13105471,0.6698913577627971
steam_sample1_train,100k,0.05,0.3,0.705707588625998,0.37378407,0.585315344555258
steam_sample2_train,100k,0.05,0.3,0.7066723019514877,0.38039064,0.58260117479567
steam_sample3_train,100k,0.05,0.3,0.7051495944045018,0.38625312,0.5811805047927391
yahoo-music_sample1_train,100k,0.05,0.3,0.20476905073373938,0.073782295,0.1632646815694334
yahoo-music_sample2_train,100k,0.05,0.3,0.2037002450300296,0.07313979,0.1630528579801103
yahoo-music_sample3_train,100k,0.05,0.3,0.20572110590171322,0.074164934,0.16559942583540724
yelp2022_sample1_train,100k,0.05,0.3,0.6176541368021965,0.04719584,0.5914564294954637
yelp2022_sample2_train,100k,0.05,0.3,0.6138497043701574,0.043592468,0.5840108361073982
yelp2022_sample3_train,100k,0.05,0.3,0.6146297671781494,0.05529804,0.5872255778984272
Amazon_Books_sample1_train,100k,0.05,0.7,0.7578190705671503,0.042991966,0.7433458107317142
Amazon_Books_sample2_train,100k,0.05,0.7,0.7605438787564022,0.046227396,0.745240289501884
Amazon_Books_sample3_train,100k,0.05,0.7,0.751475654546332,0.05487317,0.735419094415906
Amazon_Digital_Music_sample1_train,100k,0.05,0.7,0.7334239087892209,0.03339351,0.6554950840914181
Amazon_Digital_Music_sample2_train,100k,0.05,0.7,0.7334239087892209,0.03339351,0.6554950840914181
Amazon_Digital_Music_sample3_train,100k,0.05,0.7,0.7334239087892209,0.03339351,0.6554950840914181
Amazon_Grocery_and_Gourmet_Food_sample1_train,100k,0.05,0.7,0.7715066643143742,0.048288237,0.7566112660910317
Amazon_Grocery_and_Gourmet_Food_sample2_train,100k,0.05,0.7,0.7723296320758628,0.03509949,0.7588941335023726
Amazon_Grocery_and_Gourmet_Food_sample3_train,100k,0.05,0.7,0.7731438503761755,0.035404377,0.7593825305368841
Amazon_Health_and_Personal_Care_sample1_train,100k,0.05,0.7,0.6554673208155254,0.031465635,0.5653138507844097
Amazon_Health_and_Personal_Care_sample2_train,100k,0.05,0.7,0.6554673208155254,0.031465635,0.5653138507844097
Amazon_Health_and_Personal_Care_sample3_train,100k,0.05,0.7,0.6554673208155254,0.031465635,0.5653138507844097
Amazon_Movies_and_TV_sample1_train,100k,0.05,0.7,0.7566830680144997,0.04821093,0.7440954297122085
Amazon_Movies_and_TV_sample2_train,100k,0.05,0.7,0.7539205738047169,0.061995715,0.7383175714070757
Amazon_Movies_and_TV_sample3_train,100k,0.05,0.7,0.7535512072059146,0.06841072,0.7381910025166375
BeerAdvocate_sample1_train,100k,0.05,0.7,0.5090698721761083,0.110723116,0.44920009056903926
BeerAdvocate_sample2_train,100k,0.05,0.7,0.5071143301410906,0.10180936,0.44653005492045095
BeerAdvocate_sample3_train,100k,0.05,0.7,0.5097562036893014,0.103777416,0.4517748563243214
Behance_sample1_train,100k,0.05,0.7,0.6999769264302568,0.07121519,0.6253066651921809
Behance_sample2_train,100k,0.05,0.7,0.7013494888951661,0.076171145,0.6232249274768599
Behance_sample3_train,100k,0.05,0.7,0.7002229956079692,0.07177538,0.6245794802608683
DianPing_sample1_train,100k,0.05,0.7,0.5846013672541921,0.051392168,0.5733044457643314
DianPing_sample2_train,100k,0.05,0.7,0.5892047589348174,0.051671315,0.5790630340385161
DianPing_sample3_train,100k,0.05,0.7,0.5831164729093347,0.042788338,0.5711339780389021
