dataset,Sample,mrr@10,ndcg@10,precision@10,recall@10,rmse,sparsity,effective_rank,norm_rmse,spectral_distance,rmse_svd
Twitch-100k,1,0.4122,0.4281,0.0916,0.5951,0.6946219969638715,0.9994918120368776,0.9963871517740838,1.0548275762262294,0.2008206248283386,0.6585171004430543
Twitch-100k,2,0.398,0.4107,0.0909,0.5773,0.6929970452725942,0.999477520412946,0.996174155324925,1.05900301635655,0.2376187145709991,0.6543862808406513
Twitch-100k,3,0.4151,0.4293,0.0934,0.5994,0.6933200234005208,0.999477759892947,0.996171260019698,1.0557792753496382,0.2067432999610901,0.6566903135799069
anime,1,0.3556,0.2966,0.1063,0.412,0.671128190636755,0.9881131494409058,0.9864972291567992,1.3773606436117212,0.4917219281196594,0.4872566918108823
anime,2,0.3544,0.2963,0.0995,0.4087,0.6725017817732454,0.9881167334595792,0.9872057834653788,1.379005205039443,0.4763146638870239,0.487671677609085
anime,3,0.3879,0.3226,0.1091,0.4407,0.6693752939560189,0.9881387821404358,0.986137262502506,1.378211511179214,0.4906149208545685,0.4856840104196296
book-crossing,1,0.1655,0.1824,0.0412,0.3038,0.7082213191679425,0.9987682404723058,0.988157455255162,1.3504421459731364,0.1743358373641967,0.5244366234272066
book-crossing,2,0.1698,0.1864,0.0411,0.302,0.7071443751760595,0.9987920907671088,0.9900254148484876,1.300782098655168,0.1598633527755737,0.5436301559708969
book-crossing,3,0.1765,0.1933,0.0431,0.3127,0.7044905647447391,0.998757144547914,0.9900816107636868,1.3115542856605371,0.1713832467794418,0.5371417504003175
douban,1,0.1464,0.209,0.0428,0.4215,0.7202669803692613,0.9103652407014408,0.9764045950016116,1.7089495279785742,1.065976858139038,0.4214676727294731
douban,2,0.1473,0.2087,0.0478,0.4685,0.7161249654792862,0.90996687838039,0.976780913066893,1.6399368828584473,0.9887924194335938,0.4366783703474393
douban,3,0.1492,0.2131,0.0436,0.4291,0.7193823396256945,0.9098718060521496,0.9764606671134296,1.6669554085808802,0.9435702562332152,0.4315546390278803
epinions,1,0.0846,0.1121,0.0205,0.2039,0.7081779749045165,0.999632308489564,0.9978772067133888,1.0615278587667294,0.0632520839571952,0.6671308426396546
epinions,2,0.0846,0.1121,0.0205,0.2039,0.7081779749045165,0.999632308489564,0.9978772067133888,1.0615278587667294,0.0632520839571952,0.6671308426396546
epinions,3,0.0846,0.1121,0.0205,0.2039,0.7081779749045165,0.999632308489564,0.9978772067133888,1.0615278587667294,0.0632520839571952,0.6671308426396546
jester,1,0.2525,0.2918,0.0808,0.5255,0.6872730097146827,0.8114363512593601,0.9731039436557396,1.899396789413153,0.7740024328231812,0.3618375125963154
jester,2,0.2468,0.2846,0.0803,0.5175,0.6897861227674723,0.8116564556387565,0.9737241763811406,1.9035260448496565,0.7466526031494141,0.3623728315322067
jester,3,0.2476,0.2889,0.0817,0.5262,0.68690701400529,0.8116768776945769,0.9732966874170502,1.912925883697721,0.7790210843086243,0.3590871030912531
lastfm,1,0.6428,0.484,0.2138,0.5406,0.637531767782911,0.9947701426489398,0.976780326022143,1.16474686025317,0.596903920173645,0.5473565025488343
lastfm,2,0.6428,0.484,0.2138,0.5406,0.637531767782911,0.9947701426489398,0.976780326022143,1.16474686025317,0.596903920173645,0.5473565025488343
lastfm,3,0.6428,0.484,0.2138,0.5406,0.637531767782911,0.9947701426489398,0.976780326022143,1.16474686025317,0.596903920173645,0.5473565025488343
ml-1m,1,0.1746,0.1485,0.0559,0.2229,0.6381559241906601,0.9789294442385916,0.9785880291412272,1.280101364592216,0.815686047077179,0.4985198374458013
ml-1m,2,0.1913,0.1644,0.0646,0.2499,0.6281499876679274,0.9785188680570036,0.9769843221754492,1.2796340878655124,0.84305739402771,0.4908825058854989
ml-1m,3,0.1824,0.1584,0.0611,0.2435,0.63147898854709,0.9787018618128598,0.9775483987567954,1.278906094533903,0.8004967570304871,0.493764938056091
netflix,1,0.2337,0.2039,0.0851,0.2957,0.6520704279304027,0.9874583520744143,0.9801133158656516,1.3525846531557022,0.894056499004364,0.4820921384913421
netflix,2,0.2642,0.2139,0.0904,0.2949,0.6540465146374549,0.9875126010249248,0.9802232744038848,1.3281952155833898,0.8379403948783875,0.4924325181748037
netflix,3,0.2581,0.2172,0.0861,0.2963,0.6557274963583869,0.9884031855243154,0.9807532550007008,1.343281856516027,0.8424608111381531,0.4881533188121069
pinterest,1,0.3598,0.4436,0.0793,0.7365,0.694527987117419,0.9987873732170972,0.9951354060563268,1.0365519068782212,0.2506191730499267,0.6700368621279429
pinterest,2,0.3609,0.4438,0.0788,0.7303,0.6944942803514674,0.9987857387117453,0.9950200013271584,1.037989724021025,0.2596568167209625,0.6690762579624537
pinterest,3,0.3538,0.4368,0.0783,0.7287,0.6947035533922327,0.9987874796593452,0.9954069155317744,1.0351399096722291,0.2232816666364669,0.6711204416919896
steam,1,0.3445,0.4064,0.0658,0.627,0.7057848107242009,0.999206230171824,0.9875575781264642,1.2013443497331109,0.7370896339416504,0.587495842371088
steam,2,0.3427,0.4071,0.0664,0.635,0.706466849971438,0.9992015845749824,0.987346627231096,1.2165789535530116,0.7767699956893921,0.5806995492632894
steam,3,0.3416,0.403,0.0653,0.6225,0.7049948096253357,0.9992084561832276,0.9871967094244264,1.210180632229544,0.7740936279296875,0.5825533733146162
yahoo-music,1,0.5688,0.5604,0.149,0.747,0.6476152791315483,0.9950795883293482,0.9816372034225738,1.2834769530009589,0.4732468128204345,0.5045788143038549
yahoo-music,2,0.5765,0.5663,0.1469,0.7503,0.6490618905297376,0.9951434570747032,0.9821951658166898,1.2921653838274278,0.4568439722061157,0.5023055861527564
yahoo-music,3,0.552,0.5439,0.1444,0.7348,0.6459434297508162,0.9948082959993688,0.9814870929423256,1.2804951193558938,0.5091981291770935,0.504448177885859
yelp2022,1,0.2852,0.3372,0.0574,0.5245,0.7021497320553196,0.9998304533224994,0.997182315635416,1.0588702363650324,0.1229179948568344,0.6631121623228459
yelp2022,2,0.2885,0.3397,0.0572,0.5232,0.703098211837793,0.999832801309384,0.9942919177528582,1.062714846990512,0.0941289365291595,0.661605710910022
yelp2022,3,0.2927,0.3439,0.0575,0.5289,0.7026287022730455,0.9998329350566288,0.995077057714702,1.0599240526613598,0.1313723176717758,0.6629047623825663
