dataset,Sample,mrr@10,ndcg@10,precision@10,recall@10,rmse,sparsity,effective_rank,norm_rmse,spectral_distance,rmse_svd
RentTheRunway,1,0.0961,0.1334,0.0259,0.2578,0.7073153773188012,0.9992210396454948,0.9946724099853952,1.0894412377842295,0.1598905771970749,0.6492460105121238
RentTheRunway,2,0.0962,0.1336,0.026,0.2589,0.7066917447335215,0.999220709717878,0.9943087529681912,1.0878064350022851,0.1802644729614257,0.6496484319216561
RentTheRunway,3,0.0948,0.1317,0.0256,0.255,0.7073032425020706,0.9992195534587,0.9944141766753528,1.091852684099823,0.1565164178609848,0.6478009834130747
Twitch-100k,1,0.3336,0.3512,0.078,0.5198,0.6926613316090313,0.999003945853192,0.9966071302544234,1.098343609186928,0.1558432132005691,0.6306417461852293
Twitch-100k,2,0.3503,0.3627,0.0815,0.529,0.6931802222678379,0.9989888680813676,0.9967366575943326,1.099762480284701,0.1392342001199722,0.6302999372086152
Twitch-100k,3,0.3498,0.3646,0.0821,0.5428,0.6913843528599101,0.998986739816244,0.9966015941186304,1.0984225292844054,0.1557788848876953,0.629433878518797
anime,1,0.3556,0.2966,0.1063,0.412,0.671128190636755,0.9881131494409058,0.9864972291567992,1.3773606436117212,0.4917219281196594,0.4872566918108823
anime,2,0.3544,0.2963,0.0995,0.4087,0.6725017817732454,0.9881167334595792,0.9872057834653788,1.379005205039443,0.4763146638870239,0.487671677609085
anime,3,0.3879,0.3226,0.1091,0.4407,0.6693752939560189,0.9881387821404358,0.986137262502506,1.378211511179214,0.4906149208545685,0.4856840104196296
book-crossing,1,0.1655,0.1824,0.0412,0.3038,0.7082213191679425,0.9987682404723058,0.988157455255162,1.3504421459731364,0.1743358373641967,0.5244366234272066
book-crossing,2,0.1698,0.1864,0.0411,0.302,0.7071443751760595,0.9987920907671088,0.9900254148484876,1.300782098655168,0.1598633527755737,0.5436301559708969
book-crossing,3,0.1765,0.1933,0.0431,0.3127,0.7044905647447391,0.998757144547914,0.9900816107636868,1.3115542856605371,0.1713832467794418,0.5371417504003175
douban,1,0.1464,0.209,0.0428,0.4215,0.7202669803692613,0.9103652407014408,0.9764045950016116,1.7089495279785742,1.065976858139038,0.4214676727294731
douban,2,0.1473,0.2087,0.0478,0.4685,0.7161249654792862,0.90996687838039,0.976780913066893,1.6399368828584473,0.9887924194335938,0.4366783703474393
